Названия;Цена;Фото;Ссылка на товар
Смартфон Huawei Y5 2019 32GB Saphire Blue;Цена:10 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1938_0_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_y5_2019_saphire_blue_amn_lx9_77_1938
Смартфон Poco X3 Pro 8/256GB Frost Blue;Цена:25 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2981_1_6.png;https://www.sulpak.kg/g/smartfon_poco_x3_pro_256gb_frost_blue_77_2981
Смартфон Vivo Y12s Phantom Black;Цена:12 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2678_0_6.png;https://www.sulpak.kg/g/smartfon_vivo_y12s_phantom_black_77_2678
Смартфон Xiaomi Redmi 9T 4/128GB Ocean Green;Цена:17 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2818_4_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_9t_eu_4128gb_ocean_green_77_2818
Смартфон Xiaomi Mi 11 Lite 6/128GB Peach Pink;Цена:25 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2923_6_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_mi_11_lite_6128gb_peach_pink_77_2923
Смартфон Samsung Galaxy A32 4/128GB Awesome Violet;Цена:25 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2856_8_1.jpg;https://www.sulpak.kg/g/smartfon_samsung_galaxy_a32_128gb_lavanda_77_2856
Смартфон Samsung Galaxy A12 3/32GB Blue;Цена:12 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2805_8_1.jpg;https://www.sulpak.kg/g/smartfon_samsung__galaxy_a12_32gb_blue_sm_a125fzbuskz_galaxy_a12_32gb_77_2805
Смартфон Huawei P smart 2021 Midnight Black;Цена:19 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2774_5_1.jpg;https://www.sulpak.kg/g/smartfon_huawei__p_smart_2021_midnight_black_p_smart_2021_midnight_black_77_2774
Смартфон Xiaomi Redmi Note 10S 6/64GB Onyx Gray;Цена:17 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_3003_5_6.png;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_note_10s_664gb_onyx_gray_77_3003
Смартфон Samsung Galaxy A32 4/64GB Awesome Violet;Цена:23 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2841_8_1.jpg;https://www.sulpak.kg/g/smartfon_samsung_galaxy_a32_64gb_lavanda_sm_a325flvdskz_77_2841
Смартфон Huawei Y5 2019 32GB Amber Brown;Цена:10 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1937_0_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_y5_2019_amber_brown_amn_lx9_77_1937
Смартфон Huawei Y9S Breathing Crystal;Цена:21 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2323_0_6.png;https://www.sulpak.kg/g/smartfon_huawei_y9s_breathing_crystal_77_2323
Смартфон Vivo X60 Pro Blue;Цена:73 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2937_3_6.png;https://www.sulpak.kg/g/smartfon_vivo_x60_pro_blue_77_2937
Смартфон Samsung Galaxy Z Flip3 8/128GB Black;Цена:109 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_3071_0_6.png;https://www.sulpak.kg/g/smartfon_samsung_galaxy_z_flip3_128gb_black_sm_f711bzkaskz
Смартфон Samsung Galaxy S21 128GB Violet;Цена:75 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2784_3_1.jpg;https://www.sulpak.kg/g/smartfon_samsung__galaxy_s21_128gb_violet_sm_g991bzvdskz_galaxy_s21_77_2784
Смартфон Huawei P Smart Z 64GB Saphire Blue;Цена:19 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1960_0_6.png;https://www.sulpak.kg/g/smartfon_huawei_p_smart_z_saphire_blue_stk_lx1_77_1960
Смартфон Huawei Y6S 64GB Starry Black;Цена:13 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2320_1.png;https://www.sulpak.kg/g/smartfon_huawei_y6s_starry_black_77_2320
Смартфон Huawei Nova 8i Neumann-L21D NEN-LX1 Interstellar Blue;Цена:37 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_3338_8_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_neumann_l21d_nen_lx1_nova_8i_interstellar_blue
Смартфон Huawei Y6P Emerald Green;Цена:13 900 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2471_1_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_y6p_emerald_green_merida_l49c_77_2471
Смартфон Huawei Y5P Phantom Blue;Цена:11 900 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2473_11.jpg;https://www.sulpak.kg/g/smartfon_huawei_y5p_phantom_blue_dura_l29a_77_2473
Смартфон Xiaomi Redmi 10 4/64GB Carbon Gray;Цена:17 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_3114_10_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_10_464gb_carbon_gray
Смартфон Huawei P Smart Z 64GB Emerald Green;Цена:19 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1961_0_6.png;https://www.sulpak.kg/g/smartfon_huawei_p_smart_z_emerald_green_stk_lx1_77_1961
Смартфон ОРРО A53 64GB Electric Black;Цена:19 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2667_4_1.jpg;https://www.sulpak.kg/g/smartfon_orro_a53_64gb_electric_black_77_2667
Смартфон Huawei P30 Lite 256GB Peacock Blue;Цена:29 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2325_0_6.png;https://www.sulpak.kg/g/smartfon_huawei_p30_lite_256gb_peacock_blue_77_2325
Смартфон Samsung Galaxy A22 4/64GB Black;Цена:19 900 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_3054_0_1.jpg;https://www.sulpak.kg/g/smarfon_samsung_sm_a225fzkdskz_galaxy_a22_64gb_77_3054
Смартфон Samsung Galaxy A32 4/64GB Blue;Цена:23 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2851_8_1.jpg;https://www.sulpak.kg/g/smartfon_samsung_galaxy_a32_464gb_blue_77_2851
Смартфон Xiaomi Redmi 9T 4/64GB Twilight Blue;Цена:15 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2815_7_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_9t_eu_464gb_twilight_blue_77_2815
Смартфон Vivo V17 Nebula Blue;Цена:23 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2311_3.jpg;https://www.sulpak.kg/g/smartfon_vivo_v17_nebula_blue_77_2311
Смартфон Samsung Galaxy A12 4/64GB Blue;Цена:14 900 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2808_7_1.jpg;https://www.sulpak.kg/g/smartfon_samsung__galaxy_a12_32gb_blue_sm_a125fzbvskz_galaxy_a12_64gb_77_2808
Смартфон Realme 8 Pro 6+ 6/128GB Black;Цена:29 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_3040_3_6.png;https://www.sulpak.kg/g/smartfon_realme_8_pro_6_128gb_black_77_3040
Смартфон Huawei Y9 Prime 2019 Midnight Black;Цена:20 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2292_1_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_y9_prime_2019_midnight_black_77_2292
Смартфон Xiaomi Redmi Note 10S 6/128GB Ocean Blue;Цена:19 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2998_6_6.png;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_note_10s_6128gb_ocean_blue_77_2998
Смартфон Samsung Galaxy S21 128GB White;Цена:75 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2785_2_1.jpg;https://www.sulpak.kg/g/smartfon_samsung__galaxy_s21_128gb_white_sm_g991bzwdskz_galaxy_s21_77_2785
Смартфон Samsung Galaxy S21 256GB Violet;Цена:79 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2788_0_1.jpg;https://www.sulpak.kg/g/smartfon_samsung__galaxy_s21_256gb_violet_sm_g991bzvgskz_galaxy_s21_77_2788
Смартфон Xiaomi Redmi 9T 4/128GB Twilight Blue;Цена:17 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2925_2_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_9t_eu_4128gb_twilight_blue_77_2925
Смартфон Apple iPhone 13 128GB Midnight;Цена:95 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_3123_9_1.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_13_128gb_midnight_mlnw3rka
Смартфон Huawei Y5P Mint Green;Цена:11 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2474_0.jpg;https://www.sulpak.kg/g/smartfon_huawei_y5p_mint_green_dura_l29a_77_2474
